qaccver	saccver	bitscore	evalue	qlen	slen	length	qstart	qend	sstart	send	qcovs	pident	subject_gcf
WP_002854338.1	WP_013163145.1	33.5	0.042	820	449	64	184	247	302	365	8	31.25	GCF_000092205.1
WP_002854338.1	WP_013257334.1	37.4	0.004	820	842	126	155	278	569	691	21	25.397	GCF_000143965.1
WP_002854338.1	WP_002619429.1	33.1	0.044000000000000004	820	112	49	482	530	13	59	6	30.612	GCF_000165485.1
WP_002854338.1	WP_010940530.1	30.8	0.19	820	207	96	270	364	70	148	23	26.041999999999998	GCF_000166115.1
WP_002854338.1	WP_015722401.1	34.7	0.027999999999999997	820	406	60	483	535	74	133	18	35.0	GCF_000175115.2
WP_002854338.1	WP_013514948.1	35.8	0.005	820	206	61	316	373	99	159	7	29.508000000000003	GCF_000176915.2
WP_002854338.1	WP_009179955.1	38.1	0.002	820	447	84	456	536	316	399	10	29.761999999999997	GCF_000177215.2
WP_002854338.1	WP_013707854.1	35.0	0.013999999999999999	820	668	58	473	530	95	152	14	29.31	GCF_000195295.1
WP_002854338.1	YP_012482.1	30.8	0.2	820	207	96	270	364	70	148	23	26.041999999999998	GCF_000195755.1
WP_002854338.1	WP_010942104.1	31.6	0.18	820	524	52	146	196	157	208	6	32.692	GCF_000210155.1
WP_002854338.1	WP_014260053.1	42.7	9.46e-05	820	814	153	159	307	628	776	18	24.837	GCF_000212675.2
WP_002854338.1	WP_013941431.1	38.9	0.003	820	476	299	266	531	46	331	32	23.410999999999998	GCF_000219105.1
WP_002854338.1	WP_014394815.1	42.0	0.000454	820	1205	84	276	359	744	827	10	28.570999999999998	GCF_000255295.1
WP_002854338.1	WP_014811472.1	40.0	0.000346	820	207	95	145	237	95	189	17	29.474	GCF_000266945.1
WP_002854338.1	WP_002637290.1	38.1	0.005	820	1288	84	276	359	825	908	10	25.0	GCF_000280925.3
WP_002854338.1	WP_014956201.1	32.0	0.2	820	762	32	484	515	701	732	11	43.75	GCF_000307105.1
WP_002854338.1	WP_015335296.1	30.0	0.55	820	448	121	461	573	325	445	14	19.835	GCF_000331025.1
WP_002854338.1	WP_015348222.1	40.4	0.001	820	484	72	299	370	91	161	9	36.111	GCF_000331735.1
WP_002854338.1	WP_015416374.1	35.4	0.006999999999999999	820	205	48	315	362	98	145	12	31.25	GCF_000341895.1
WP_002854338.1	WP_020734472.1	34.3	0.083	820	334	45	158	201	53	97	5	35.556	GCF_000418325.1
WP_002854338.1	WP_034606662.1	43.9	2.9100000000000003e-05	820	445	74	462	533	322	395	9	32.431999999999995	GCF_000468495.1
WP_002854338.1	WP_053233462.1	32.7	0.21	820	278	43	72	114	228	263	5	34.884	GCF_000737325.1
WP_002854338.1	WP_045668433.1	31.6	0.21	820	524	52	146	196	157	208	6	32.692	GCF_000961035.1
WP_002854338.1	WP_046712146.1	38.9	0.003	820	1258	84	276	359	795	878	10	26.19	GCF_000988565.1
WP_002854338.1	WP_047857605.1	39.7	0.002	820	403	68	136	203	237	304	8	32.353	GCF_001027285.1
WP_002854338.1	WP_050433636.1	32.0	0.43	820	382	102	436	534	61	157	12	23.529	GCF_001189295.1
WP_002854338.1	WP_050725958.1	38.5	0.002	820	351	49	485	533	176	224	6	28.570999999999998	GCF_001263175.1
WP_002854338.1	WP_053551047.1	35.8	0.006	820	241	157	91	229	21	173	17	26.115	GCF_001278055.1
WP_002854338.1	WP_066602325.1	33.5	0.039	820	459	71	462	530	327	397	8	25.351999999999997	GCF_001553625.1
WP_002854338.1	WP_066802460.1	35.8	0.005	820	208	47	316	362	99	145	12	36.17	GCF_001563225.1
WP_002854338.1	WP_082757543.1	35.8	0.008	820	762	49	484	532	460	508	22	34.694	GCF_001577525.1
WP_002854338.1	WP_066722746.1	33.5	0.043	820	270	76	487	555	8	83	8	27.631999999999998	GCF_001611275.1
WP_002854338.1	WP_066357538.1	31.2	0.18	820	524	52	146	196	157	208	6	32.692	GCF_001628815.1
WP_002854338.1	WP_020875757.1	33.1	0.061	820	339	134	149	278	17	146	25	25.373	GCF_001854245.1
WP_002854338.1	WP_072285447.1	34.3	0.02	820	416	76	149	222	121	195	14	31.579	GCF_001887715.1
WP_002854338.1	WP_072284503.1	33.5	0.028999999999999998	820	317	68	145	210	28	94	8	25.0	GCF_001887775.1
WP_002854338.1	WP_072285447.1	34.3	0.019	820	416	76	149	222	121	195	14	31.579	GCF_001888165.1
WP_002854338.1	WP_075277672.1	26.9	2.0	820	384	53	152	203	126	178	6	32.075	GCF_001931505.1
WP_002854338.1	WP_020875757.1	33.1	0.061	820	339	134	149	278	17	146	25	25.373	GCF_002009335.2
WP_002854338.1	WP_095980571.1	34.7	0.039	820	271	80	453	532	66	145	37	26.25	GCF_002305855.1
WP_002854338.1	WP_095985637.1	36.6	0.006	820	167	67	477	541	53	119	8	31.343000000000004	GCF_002305875.1
WP_002854338.1	WP_095959774.1	38.1	0.004	820	476	257	304	531	88	331	28	22.956999999999997	GCF_002305895.1
WP_002854338.1	WP_072312376.1	34.3	0.022000000000000002	820	453	126	459	576	328	453	14	19.840999999999998	GCF_002334685.1
WP_002854338.1	WP_111333977.1	37.0	0.006999999999999999	820	1111	63	147	206	413	474	7	33.333	GCF_003258315.1
WP_002854338.1	WP_119332437.1	31.6	0.19	820	524	52	146	196	157	208	6	32.692	GCF_003574175.1
WP_002854338.1	WP_126379091.1	33.1	0.054000000000000006	820	363	91	451	530	198	288	11	29.67	GCF_003966735.1
WP_002854338.1	WP_128795628.1	40.0	0.001	820	1208	84	276	359	747	830	10	27.381	GCF_004104415.1
WP_002854338.1	WP_129346712.1	33.5	0.13	820	362	55	148	201	43	97	7	32.727	GCF_004135735.1
WP_002854338.1	WP_129578887.1	34.3	0.13	820	3798	72	722	789	1572	1641	8	29.166999999999998	GCF_004135755.1
WP_002854338.1	WP_129352830.1	37.0	0.005	820	447	84	456	536	316	399	14	28.570999999999998	GCF_004135975.1
WP_002854338.1	WP_136399622.1	35.8	0.006999999999999999	820	594	104	715	817	184	281	13	30.769000000000002	GCF_004801255.1
WP_002854338.1	WP_137423436.1	29.6	0.37	820	191	137	127	237	53	188	14	23.358	GCF_005377625.1
WP_002854338.1	WP_140793885.1	38.1	0.005	820	479	298	266	531	46	331	32	23.154	GCF_006400955.1
WP_002854338.1	WP_140793885.1	38.1	0.005	820	479	298	266	531	46	331	32	23.154	GCF_006401215.1
WP_002854338.1	WP_090493140.1	37.0	0.008	820	271	238	158	377	24	247	37	25.63	GCF_006401635.1
WP_002854338.1	WP_140793885.1	38.1	0.005	820	479	298	266	531	46	331	32	23.154	GCF_006402015.1
WP_002854338.1	WP_140793885.1	38.1	0.005	820	479	298	266	531	46	331	32	23.154	GCF_006402415.1
WP_002854338.1	WP_140793885.1	38.1	0.005	820	479	298	266	531	46	331	32	23.154	GCF_006402735.1
WP_002854338.1	WP_141199189.1	47.8	4.19e-06	820	463	254	280	525	96	324	30	23.622	GCF_006517175.1
WP_002854338.1	WP_083575229.1	31.6	0.13	820	316	56	158	204	219	274	6	26.785999999999998	GCF_900116045.1
WP_002854338.1	WP_088536856.1	35.0	0.019	820	613	250	129	368	257	489	39	24.4	GCF_900187405.1
