subject_gcf	organism_name	infraspecific_name	taxid	species_taxid
GCF_000827125.1	Geoalkalibacter subterraneus	strain=Red1	483547	483547
GCF_000961035.1	Geobacter sulfurreducens	strain=AM-1	35554	35554
GCF_001189295.1	Chondromyces crocatus	strain=Cm c5	52	52
GCF_001263175.1	Vulgatibacter incomptus	strain=DSM 27710	1391653	1391653
GCF_001278055.1	Desulfuromonas soudanensis	strain=WTL	1603606	1603606
GCF_001553605.1	Desulfovibrio fairfieldensis	strain=CCUG 45958	44742	44742
GCF_001553625.1	Desulfomicrobium orale DSM 12838	strain=DSM 12838	888061	132132
GCF_001563225.1	Pseudodesulfovibrio indicus	strain=J2	1716143	1716143
GCF_001577525.1	Candidatus Desulfofervidus auxilii	strain=HS1	1621989	1621989
GCF_001887715.1	Pelobacter acetylenicus	strain=DSM 3247	29542	29542
GCF_001931505.1	Pajaroellobacter abortibovis	strain=BTF92-0548A/99-0131	1882918	1882918
GCA_000186885.1	Desulfobulbus propionicus DSM 2032	strain=DSM 2032	577650	894
GCF_000331715.1	Lawsonia intracellularis N343	strain=N343	1234378	29546
GCF_000418325.1	Sorangium cellulosum So0157-2	strain=So0157-2	1254432	56
GCF_000517565.1	Desulfurella acetivorans A63	strain=A63	694431	33002
GCF_002009335.2	Desulfococcus multivorans	strain=DSM 2059	897	897
GCF_000255295.1	Corallococcus coralloides DSM 2259	strain=DSM 2259	1144275	184914
GCF_000013405.1	Syntrophus aciditrophicus SB	strain=SB	56780	316277
GCF_000016745.1	Geobacter uraniireducens Rf4	strain=Rf4	351605	351604
GCF_000018405.1	Desulfococcus oleovorans Hxd3	strain=Hxd3	96561	181663
GCF_000021385.1	Desulfovibrio vulgaris str. 'Miyazaki F'	strain=Miyazaki F	883	881
GCF_000022125.1	Desulfovibrio desulfuricans ATCC 27774	strain=ATCC 27774	525146	876
GCF_000024325.1	Desulfohalobium retbaense DSM 5692	strain=DSM 5692	485915	45663
GCF_000025945.1	Desulfotalea psychrophila LSv54	strain=LSv54	177439	84980
GCF_000175115.2	Geobacter sp. M18	strain=M18	443143	443143
GCF_000176915.2	Pseudodesulfovibrio aespoeensis Aspo-2	strain=Aspo-2	643562	182210
GCF_000212675.2	Desulfovibrio africanus str. Walvis Bay	strain=Walvis Bay	690850	873
GCF_000307105.1	Desulfobacula toluolica Tol2	strain=Tol2	651182	28223
GCF_000331735.1	Myxococcus stipitatus DSM 14675	strain=DSM 14675	1278073	83455
GCF_000468495.1	Desulfovibrio gigas DSM 1382 = ATCC 19364	strain=ATCC 19364	1121448	879
GCF_001027285.1	Archangium gephyra	strain=DSM 2261	48	48
GCF_004135975.1	Desulfovibrio carbinolicus	strain=DSM 3852	296842	296842
GCF_004319545.1	Desulfobacter hydrogenophilus	strain=AcRS1	2291	2291
GCF_005377625.1	Desulfoglaeba alkanexedens ALDC	strain=ALDC	980445	361111
GCF_006400955.1	Myxococcus xanthus	strain=GH3.5.6c2	34	34
GCF_006401215.1	Myxococcus xanthus	strain=GH5.1.9c20	34	34
GCF_006401635.1	Myxococcus xanthus	strain=KF3.2.8c11	34	34
GCF_006402015.1	Myxococcus xanthus	strain=KF4.3.9c1	34	34
GCF_006402415.1	Myxococcus xanthus	strain=MC3.3.5c16	34	34
GCF_006402735.1	Myxococcus xanthus	strain=MC3.5.9c15	34	34
GCF_006517175.1	Bradymonas sp. YN101	strain=YN101	2589075	2589075
GCF_900116045.1	Desulfovibrio piger		901	901
GCF_900217235.1	Pseudodesulfovibrio profundus	strain=500-1	57320	57320
GCA_001263205.1	Labilithrix luteola	strain=DSM 27648	1391654	1391654
GCA_001931535.1	Minicystis rosea	strain=DSM 24000	888845	888845
GCA_900095395.1	uncultured Desulfovibrio sp.		167968	167968
GCF_000007985.2	Geobacter sulfurreducens PCA	strain=PCA	243231	35554
GCF_000189295.2	Desulfovibrio desulfuricans ND132	strain=ND132	641491	876
GCF_000988565.1	Myxococcus fulvus 124B02	strain=124B02	1334629	33
GCF_001611275.1	Desulfuromonas sp. DDH964	strain=DDH964	1823759	1823759
GCF_001628815.1	Geobacter anodireducens	strain=SD-1	1340425	1340425
GCF_001854245.1	Desulfococcus multivorans	strain=DSM 2059	897	897
GCF_001887775.1	Pelobacter sp. SFB93	strain=SFB93	1842532	1842532
GCF_001888165.1	Pelobacter acetylenicus	strain=DSM 3246	29542	29542
GCF_002305855.1	Melittangium boletus DSM 14713	strain=DSM 14713	1294270	83453
GCF_002305875.1	Cystobacter fuscus	strain=DSM 52655	43	43
GCF_002305895.1	Myxococcus macrosporus DSM 14697	strain=DSM 14697	1189310	35
GCF_002334685.1	Desulfovibrio sp. G11	strain=G11	631220	631220
GCF_002355955.1	Candidatus Desulfovibrio trichonymphae	strain=Rs-N31	1725232	1725232
GCF_002950945.1	Sorangium cellulosum	strain=So ce26	56	56
GCF_002952055.1	Desulfobulbus oralis	strain=HOT041/ORNL	1986146	1986146
GCF_003258315.1	Bradymonas sediminis	strain=FA350	1548548	1548548
GCF_003574175.1	Geobacter sulfurreducens	strain=YM18	35554	35554
GCF_003966735.1	Desulfovibrio ferrophilus	strain=IS5	241368	241368
GCF_004104415.1	Corallococcus coralloides	strain=B035	184914	184914
GCF_004135735.1	Sorangium cellulosum	strain=So ceGT47	56	56
GCF_004135755.1	Sorangium cellulosum	strain=So ce836	56	56
GCF_004801255.1	Desulfovibrio desulfuricans	strain=IC1	876	876
GCF_900187405.1	Geobacter sp. DSM 9736	strain=DSM 9736	1277350	1277350
